,Precinct,Race,Candidate,Total Votes,Vote Percentage
2220,2018,District 5,Rudy Lopez,52,30.23
2223,2019,Mayor,Ray Adam Basaldua,2,2.06
2224,2019,Mayor,Christopher T. Schuchardt,9,9.28
2225,2019,Mayor,Christopher Longoria,2,2.06
2226,2019,Mayor,Ron Nirenberg,76,78.35
2227,2019,Mayor,Armando Dominguez,1,1.03
2228,2019,Mayor,Michael Idrogo,0,0.0
2229,2019,Mayor,Gary Allen,4,4.12
2230,2019,Mayor,Michael Samaniego,1,1.03
2231,2019,Mayor,Diana Flores Uriegas,2,2.06
2234,2019,District 5,Arturo Espinosa,5,5.62
2235,2019,District 5,Teri Castillo,50,56.18
2236,2019,District 5,Rudy Lopez,34,38.2
2239,2020,Mayor,Ray Adam Basaldua,8,2.56
2240,2020,Mayor,Christopher T. Schuchardt,35,11.22
2241,2020,Mayor,Christopher Longoria,8,2.56
2242,2020,Mayor,Ron Nirenberg,220,70.51
2243,2020,Mayor,Armando Dominguez,5,1.6
2244,2020,Mayor,Michael Idrogo,2,0.64
2245,2020,Mayor,Gary Allen,8,2.56
2246,2020,Mayor,Michael Samaniego,11,3.53
2247,2020,Mayor,Diana Flores Uriegas,15,4.81
2250,2020,District 6,Irina Rudolph,51,17.17
2251,2020,District 6,Melissa Cabello Havrda,215,72.39
2252,2020,District 6,Chris Baecker,31,10.44
2255,2021,Mayor,Ray Adam Basaldua,1,0.43
2256,2021,Mayor,Christopher T. Schuchardt,12,5.22
2257,2021,Mayor,Christopher Longoria,6,2.61
2258,2021,Mayor,Ron Nirenberg,172,74.78
2259,2021,Mayor,Armando Dominguez,4,1.74
2260,2021,Mayor,Michael Idrogo,1,0.43
2261,2021,Mayor,Gary Allen,14,6.09
2262,2021,Mayor,Michael Samaniego,3,1.3
2263,2021,Mayor,Diana Flores Uriegas,17,7.39
2266,2021,District 5,Arturo Espinosa,9,4.05
2267,2021,District 5,Teri Castillo,145,65.32
2268,2021,District 5,Rudy Lopez,68,30.63
2271,2022,Mayor,Ray Adam Basaldua,2,1.36
2272,2022,Mayor,Christopher T. Schuchardt,16,10.88
2273,2022,Mayor,Christopher Longoria,5,3.4
2274,2022,Mayor,Ron Nirenberg,101,68.71
2275,2022,Mayor,Armando Dominguez,2,1.36
2276,2022,Mayor,Michael Idrogo,0,0.0
2277,2022,Mayor,Gary Allen,4,2.72
2278,2022,Mayor,Michael Samaniego,6,4.08
2279,2022,Mayor,Diana Flores Uriegas,11,7.48
2282,2022,District 5,Arturo Espinosa,14,10.45
2283,2022,District 5,Teri Castillo,84,62.69
2284,2022,District 5,Rudy Lopez,36,26.87
2287,2023,Mayor,Ray Adam Basaldua,7,2.24
2288,2023,Mayor,Christopher T. Schuchardt,28,8.95
2289,2023,Mayor,Christopher Longoria,9,2.88
2290,2023,Mayor,Ron Nirenberg,225,71.88
2291,2023,Mayor,Armando Dominguez,6,1.92
2292,2023,Mayor,Michael Idrogo,1,0.32
2293,2023,Mayor,Gary Allen,12,3.83
2294,2023,Mayor,Michael Samaniego,4,1.28
2295,2023,Mayor,Diana Flores Uriegas,21,6.71
2298,2023,District 7,Sandragrace Martinez,70,23.33
2299,2023,District 7,Jacob B. Chapa,46,15.33
2300,2023,District 7,Dan Rossiter,26,8.67
2301,2023,District 7,Marina Alderete Gavito,150,50.0
2302,2023,District 7,"Andrew ""AJ"" Luck",8,2.67
2305,2024,Mayor,Ray Adam Basaldua,2,0.95
2306,2024,Mayor,Christopher T. Schuchardt,28,13.33
2307,2024,Mayor,Christopher Longoria,6,2.86
2308,2024,Mayor,Ron Nirenberg,144,68.57
2309,2024,Mayor,Armando Dominguez,3,1.43
2310,2024,Mayor,Michael Idrogo,0,0.0
2311,2024,Mayor,Gary Allen,6,2.86
2312,2024,Mayor,Michael Samaniego,11,5.24
2313,2024,Mayor,Diana Flores Uriegas,10,4.76
2316,2024,District 7,Sandragrace Martinez,43,21.39
2317,2024,District 7,Jacob B. Chapa,28,13.93
2318,2024,District 7,Dan Rossiter,22,10.95
2319,2024,District 7,Marina Alderete Gavito,101,50.25
2320,2024,District 7,"Andrew ""AJ"" Luck",7,3.48
2323,2025,Mayor,Ray Adam Basaldua,11,2.52
2324,2025,Mayor,Christopher T. Schuchardt,42,9.61
2325,2025,Mayor,Christopher Longoria,8,1.83
2326,2025,Mayor,Ron Nirenberg,343,78.49
2327,2025,Mayor,Armando Dominguez,1,0.23
2328,2025,Mayor,Michael Idrogo,1,0.23
2329,2025,Mayor,Gary Allen,9,2.06
2330,2025,Mayor,Michael Samaniego,7,1.6
2331,2025,Mayor,Diana Flores Uriegas,15,3.43
2334,2025,District 7,Sandragrace Martinez,85,19.72
2335,2025,District 7,Jacob B. Chapa,35,8.12
2336,2025,District 7,Dan Rossiter,54,12.53
2337,2025,District 7,Marina Alderete Gavito,241,55.92
2338,2025,District 7,"Andrew ""AJ"" Luck",16,3.71
2341,2026,Mayor,Ray Adam Basaldua,6,1.42
2342,2026,Mayor,Christopher T. Schuchardt,68,16.08
2343,2026,Mayor,Christopher Longoria,11,2.6
2344,2026,Mayor,Ron Nirenberg,304,71.87
2345,2026,Mayor,Armando Dominguez,4,0.95
2346,2026,Mayor,Michael Idrogo,0,0.0
2347,2026,Mayor,Gary Allen,13,3.07
2348,2026,Mayor,Michael Samaniego,5,1.18
2349,2026,Mayor,Diana Flores Uriegas,12,2.84
2352,2026,District 7,Sandragrace Martinez,85,21.52
2353,2026,District 7,Jacob B. Chapa,32,8.1
2354,2026,District 7,Dan Rossiter,56,14.18
2355,2026,District 7,Marina Alderete Gavito,206,52.15
2356,2026,District 7,"Andrew ""AJ"" Luck",16,4.05
2359,2027,Mayor,Ray Adam Basaldua,6,1.89
2360,2027,Mayor,Christopher T. Schuchardt,49,15.41
2361,2027,Mayor,Christopher Longoria,5,1.57
2362,2027,Mayor,Ron Nirenberg,226,71.07
2363,2027,Mayor,Armando Dominguez,0,0.0
2364,2027,Mayor,Michael Idrogo,1,0.31
2365,2027,Mayor,Gary Allen,8,2.52
2366,2027,Mayor,Michael Samaniego,13,4.09
2367,2027,Mayor,Diana Flores Uriegas,10,3.14
2370,2027,District 7,Sandragrace Martinez,65,21.38
2371,2027,District 7,Jacob B. Chapa,21,6.91
2372,2027,District 7,Dan Rossiter,49,16.12
2373,2027,District 7,Marina Alderete Gavito,166,54.61
2374,2027,District 7,"Andrew ""AJ"" Luck",3,0.99
2377,2028,Mayor,Ray Adam Basaldua,8,1.64
2378,2028,Mayor,Christopher T. Schuchardt,75,15.34
2379,2028,Mayor,Christopher Longoria,7,1.43
2380,2028,Mayor,Ron Nirenberg,358,73.21
2381,2028,Mayor,Armando Dominguez,2,0.41
2382,2028,Mayor,Michael Idrogo,2,0.41
2383,2028,Mayor,Gary Allen,12,2.45
2384,2028,Mayor,Michael Samaniego,9,1.84
2385,2028,Mayor,Diana Flores Uriegas,16,3.27
2388,2028,District 7,Sandragrace Martinez,73,15.43
2389,2028,District 7,Jacob B. Chapa,47,9.94
2390,2028,District 7,Dan Rossiter,81,17.12
2391,2028,District 7,Marina Alderete Gavito,263,55.6
2392,2028,District 7,"Andrew ""AJ"" Luck",9,1.9
2395,2029,Mayor,Ray Adam Basaldua,4,4.04
2396,2029,Mayor,Christopher T. Schuchardt,8,8.08
2397,2029,Mayor,Christopher Longoria,2,2.02
2398,2029,Mayor,Ron Nirenberg,68,68.69
2399,2029,Mayor,Armando Dominguez,3,3.03
2400,2029,Mayor,Michael Idrogo,0,0.0
2401,2029,Mayor,Gary Allen,4,4.04
2402,2029,Mayor,Michael Samaniego,6,6.06
2403,2029,Mayor,Diana Flores Uriegas,4,4.04
2406,2029,District 5,Arturo Espinosa,6,6.12
2407,2029,District 5,Teri Castillo,47,47.96
2408,2029,District 5,Rudy Lopez,45,45.92
2411,2030,Mayor,Ray Adam Basaldua,6,3.97
2412,2030,Mayor,Christopher T. Schuchardt,10,6.62
2413,2030,Mayor,Christopher Longoria,5,3.31
2414,2030,Mayor,Ron Nirenberg,113,74.83
2415,2030,Mayor,Armando Dominguez,1,0.66
2416,2030,Mayor,Michael Idrogo,1,0.66
2417,2030,Mayor,Gary Allen,5,3.31
2418,2030,Mayor,Michael Samaniego,3,1.99
2419,2030,Mayor,Diana Flores Uriegas,7,4.64
2422,2030,District 5,Arturo Espinosa,10,6.8
2423,2030,District 5,Teri Castillo,80,54.42
2424,2030,District 5,Rudy Lopez,57,38.78
2427,2031,Mayor,Ray Adam Basaldua,2,2.0
2428,2031,Mayor,Christopher T. Schuchardt,8,8.0
2429,2031,Mayor,Christopher Longoria,2,2.0
2430,2031,Mayor,Ron Nirenberg,76,76.0
2431,2031,Mayor,Armando Dominguez,1,1.0
2432,2031,Mayor,Michael Idrogo,1,1.0
2433,2031,Mayor,Gary Allen,1,1.0
2434,2031,Mayor,Michael Samaniego,3,3.0
2435,2031,Mayor,Diana Flores Uriegas,6,6.0
2438,2031,District 5,Arturo Espinosa,5,5.1
2439,2031,District 5,Teri Castillo,68,69.39
2440,2031,District 5,Rudy Lopez,25,25.51
2443,2032,Mayor,Ray Adam Basaldua,1,1.96
2444,2032,Mayor,Christopher T. Schuchardt,4,7.84
2445,2032,Mayor,Christopher Longoria,3,5.88
2446,2032,Mayor,Ron Nirenberg,35,68.63
2447,2032,Mayor,Armando Dominguez,0,0.0
2448,2032,Mayor,Michael Idrogo,0,0.0
2449,2032,Mayor,Gary Allen,0,0.0
2450,2032,Mayor,Michael Samaniego,5,9.8
2451,2032,Mayor,Diana Flores Uriegas,3,5.88
2454,2032,District 5,Arturo Espinosa,1,2.08
2455,2032,District 5,Teri Castillo,30,62.5
2456,2032,District 5,Rudy Lopez,17,35.42
2459,2033,Mayor,Ray Adam Basaldua,4,7.41
2460,2033,Mayor,Christopher T. Schuchardt,7,12.96
2461,2033,Mayor,Christopher Longoria,2,3.7
2462,2033,Mayor,Ron Nirenberg,35,64.81
2463,2033,Mayor,Armando Dominguez,2,3.7
2464,2033,Mayor,Michael Idrogo,1,1.85
2465,2033,Mayor,Gary Allen,0,0.0
2466,2033,Mayor,Michael Samaniego,1,1.85
2467,2033,Mayor,Diana Flores Uriegas,2,3.7
2470,2033,District 5,Arturo Espinosa,3,6.12
2471,2033,District 5,Teri Castillo,35,71.43
2472,2033,District 5,Rudy Lopez,11,22.45
2475,2034,Mayor,Ray Adam Basaldua,0,0.0
2476,2034,Mayor,Christopher T. Schuchardt,5,10.2
2477,2034,Mayor,Christopher Longoria,3,6.12
2478,2034,Mayor,Ron Nirenberg,34,69.39
2479,2034,Mayor,Armando Dominguez,1,2.04
2480,2034,Mayor,Michael Idrogo,0,0.0
2481,2034,Mayor,Gary Allen,4,8.16
2482,2034,Mayor,Michael Samaniego,0,0.0
2483,2034,Mayor,Diana Flores Uriegas,2,4.08
2486,2034,District 5,Arturo Espinosa,3,6.38
2487,2034,District 5,Teri Castillo,27,57.45
2488,2034,District 5,Rudy Lopez,17,36.17
2491,2035,Mayor,Ray Adam Basaldua,2,0.45
2492,2035,Mayor,Christopher T. Schuchardt,29,6.46
2493,2035,Mayor,Christopher Longoria,11,2.45
2494,2035,Mayor,Ron Nirenberg,380,84.63
2495,2035,Mayor,Armando Dominguez,1,0.22
2496,2035,Mayor,Michael Idrogo,3,0.67
2497,2035,Mayor,Gary Allen,10,2.23
2498,2035,Mayor,Michael Samaniego,3,0.67
2499,2035,Mayor,Diana Flores Uriegas,10,2.23
2502,2035,District 1,Jeremy Roberts,79,17.63
2503,2035,District 1,Roberto Rios Ortega,4,0.89
2504,2035,District 1,Sukh Kaur,166,37.05
2505,2035,District 1,Ernest Salinas,20,4.46
2506,2035,District 1,Lauro Bustamante,8,1.79
2507,2035,District 1,Mario Bravo,163,36.38
2508,2035,District 1,William T. Lamar-Boone,8,1.79
2511,2036,Mayor,Ray Adam Basaldua,4,0.63
2512,2036,Mayor,Christopher T. Schuchardt,90,14.22
2513,2036,Mayor,Christopher Longoria,8,1.26
2514,2036,Mayor,Ron Nirenberg,487,76.94
2515,2036,Mayor,Armando Dominguez,0,0.0
2516,2036,Mayor,Michael Idrogo,2,0.32
2517,2036,Mayor,Gary Allen,26,4.11
2518,2036,Mayor,Michael Samaniego,7,1.11
2519,2036,Mayor,Diana Flores Uriegas,9,1.42
2522,2036,District 1,Jeremy Roberts,135,21.6
2523,2036,District 1,Roberto Rios Ortega,8,1.28
2524,2036,District 1,Sukh Kaur,241,38.56
2525,2036,District 1,Ernest Salinas,43,6.88
2526,2036,District 1,Lauro Bustamante,4,0.64
2527,2036,District 1,Mario Bravo,183,29.28
2528,2036,District 1,William T. Lamar-Boone,11,1.76
2531,2037,Mayor,Ray Adam Basaldua,3,0.95
2532,2037,Mayor,Christopher T. Schuchardt,87,27.53
2533,2037,Mayor,Christopher Longoria,2,0.63
2534,2037,Mayor,Ron Nirenberg,170,53.8
2535,2037,Mayor,Armando Dominguez,0,0.0
2536,2037,Mayor,Michael Idrogo,2,0.63
2537,2037,Mayor,Gary Allen,16,5.06
2538,2037,Mayor,Michael Samaniego,28,8.86
2539,2037,Mayor,Diana Flores Uriegas,8,2.53
2542,2037,District 7,Sandragrace Martinez,37,12.13
2543,2037,District 7,Jacob B. Chapa,46,15.08
2544,2037,District 7,Dan Rossiter,83,27.21
2545,2037,District 7,Marina Alderete Gavito,127,41.64
2546,2037,District 7,"Andrew ""AJ"" Luck",12,3.93
2549,2038,Mayor,Ray Adam Basaldua,2,0.57
2550,2038,Mayor,Christopher T. Schuchardt,68,19.26
2551,2038,Mayor,Christopher Longoria,12,3.4
2552,2038,Mayor,Ron Nirenberg,238,67.42
2553,2038,Mayor,Armando Dominguez,3,0.85
2554,2038,Mayor,Michael Idrogo,0,0.0
2555,2038,Mayor,Gary Allen,9,2.55
2556,2038,Mayor,Michael Samaniego,13,3.68
2557,2038,Mayor,Diana Flores Uriegas,8,2.27
2560,2038,District 1,Jeremy Roberts,85,24.85
2561,2038,District 1,Roberto Rios Ortega,6,1.75
2562,2038,District 1,Sukh Kaur,128,37.43
2563,2038,District 1,Ernest Salinas,33,9.65
2564,2038,District 1,Lauro Bustamante,8,2.34
2565,2038,District 1,Mario Bravo,78,22.81
2566,2038,District 1,William T. Lamar-Boone,4,1.17
2569,2039,Mayor,Ray Adam Basaldua,2,0.68
2570,2039,Mayor,Christopher T. Schuchardt,17,5.8
2571,2039,Mayor,Christopher Longoria,8,2.73
2572,2039,Mayor,Ron Nirenberg,244,83.28
2573,2039,Mayor,Armando Dominguez,2,0.68
2574,2039,Mayor,Michael Idrogo,1,0.34
2575,2039,Mayor,Gary Allen,7,2.39
2576,2039,Mayor,Michael Samaniego,6,2.05
2577,2039,Mayor,Diana Flores Uriegas,6,2.05
2580,2039,District 1,Jeremy Roberts,44,14.97
2581,2039,District 1,Roberto Rios Ortega,3,1.02
2582,2039,District 1,Sukh Kaur,102,34.69
2583,2039,District 1,Ernest Salinas,16,5.44
2584,2039,District 1,Lauro Bustamante,8,2.72
2585,2039,District 1,Mario Bravo,116,39.46
2586,2039,District 1,William T. Lamar-Boone,5,1.7
2589,2040,Mayor,Ray Adam Basaldua,10,2.79
2590,2040,Mayor,Christopher T. Schuchardt,57,15.88
2591,2040,Mayor,Christopher Longoria,6,1.67
2592,2040,Mayor,Ron Nirenberg,238,66.3
2593,2040,Mayor,Armando Dominguez,0,0.0
2594,2040,Mayor,Michael Idrogo,2,0.56
2595,2040,Mayor,Gary Allen,15,4.18
2596,2040,Mayor,Michael Samaniego,18,5.01
2597,2040,Mayor,Diana Flores Uriegas,13,3.62
2600,2040,District 7,Sandragrace Martinez,92,26.82
2601,2040,District 7,Jacob B. Chapa,46,13.41
2602,2040,District 7,Dan Rossiter,50,14.58
2603,2040,District 7,Marina Alderete Gavito,150,43.73
2604,2040,District 7,"Andrew ""AJ"" Luck",5,1.46
2607,2041,Mayor,Ray Adam Basaldua,6,1.55
2608,2041,Mayor,Christopher T. Schuchardt,60,15.54
2609,2041,Mayor,Christopher Longoria,10,2.59
2610,2041,Mayor,Ron Nirenberg,259,67.1
2611,2041,Mayor,Armando Dominguez,4,1.04
2612,2041,Mayor,Michael Idrogo,5,1.3
2613,2041,Mayor,Gary Allen,20,5.18
2614,2041,Mayor,Michael Samaniego,9,2.33
2615,2041,Mayor,Diana Flores Uriegas,13,3.37
2618,2041,District 7,Sandragrace Martinez,85,23.16
2619,2041,District 7,Jacob B. Chapa,53,14.44
2620,2041,District 7,Dan Rossiter,54,14.71
2621,2041,District 7,Marina Alderete Gavito,155,42.23
2622,2041,District 7,"Andrew ""AJ"" Luck",20,5.45
2625,2042,Mayor,Ray Adam Basaldua,8,4.08
2626,2042,Mayor,Christopher T. Schuchardt,19,9.69
2627,2042,Mayor,Christopher Longoria,3,1.53
2628,2042,Mayor,Ron Nirenberg,135,68.88
2629,2042,Mayor,Armando Dominguez,2,1.02
2630,2042,Mayor,Michael Idrogo,1,0.51
2631,2042,Mayor,Gary Allen,7,3.57
2632,2042,Mayor,Michael Samaniego,12,6.12
2633,2042,Mayor,Diana Flores Uriegas,9,4.59
2636,2042,District 7,Sandragrace Martinez,45,24.86
2637,2042,District 7,Jacob B. Chapa,24,13.26
2638,2042,District 7,Dan Rossiter,30,16.57
2639,2042,District 7,Marina Alderete Gavito,73,40.33
2640,2042,District 7,"Andrew ""AJ"" Luck",9,4.97
2643,2043,Mayor,Ray Adam Basaldua,4,4.65
2644,2043,Mayor,Christopher T. Schuchardt,9,10.47
2645,2043,Mayor,Christopher Longoria,1,1.16
2646,2043,Mayor,Ron Nirenberg,56,65.12
2647,2043,Mayor,Armando Dominguez,4,4.65
2648,2043,Mayor,Michael Idrogo,2,2.33
2649,2043,Mayor,Gary Allen,2,2.33
2650,2043,Mayor,Michael Samaniego,4,4.65
2651,2043,Mayor,Diana Flores Uriegas,4,4.65
2654,2043,District 5,Arturo Espinosa,2,2.53
2655,2043,District 5,Teri Castillo,53,67.09
2656,2043,District 5,Rudy Lopez,24,30.38
2659,2044,Mayor,Ray Adam Basaldua,5,2.92
2660,2044,Mayor,Christopher T. Schuchardt,32,18.71
2661,2044,Mayor,Christopher Longoria,5,2.92
2662,2044,Mayor,Ron Nirenberg,95,55.56
2663,2044,Mayor,Armando Dominguez,7,4.09
2664,2044,Mayor,Michael Idrogo,2,1.17
2665,2044,Mayor,Gary Allen,7,4.09
2666,2044,Mayor,Michael Samaniego,8,4.68
2667,2044,Mayor,Diana Flores Uriegas,10,5.85
2670,2044,District 6,Irina Rudolph,38,24.36
2671,2044,District 6,Melissa Cabello Havrda,93,59.62
2672,2044,District 6,Chris Baecker,25,16.03
2675,2045,Mayor,Ray Adam Basaldua,3,0.81
2676,2045,Mayor,Christopher T. Schuchardt,34,9.19
2677,2045,Mayor,Christopher Longoria,7,1.89
2678,2045,Mayor,Ron Nirenberg,299,80.81
2679,2045,Mayor,Armando Dominguez,1,0.27
2680,2045,Mayor,Michael Idrogo,2,0.54
2681,2045,Mayor,Gary Allen,9,2.43
2682,2045,Mayor,Michael Samaniego,4,1.08
2683,2045,Mayor,Diana Flores Uriegas,11,2.97
2686,2045,District 7,Sandragrace Martinez,52,14.4
2687,2045,District 7,Jacob B. Chapa,22,6.09
2688,2045,District 7,Dan Rossiter,51,14.13
2689,2045,District 7,Marina Alderete Gavito,229,63.43
2690,2045,District 7,"Andrew ""AJ"" Luck",7,1.94
2693,2046,Mayor,Ray Adam Basaldua,11,2.11
2694,2046,Mayor,Christopher T. Schuchardt,63,12.09
2695,2046,Mayor,Christopher Longoria,5,0.96
2696,2046,Mayor,Ron Nirenberg,418,80.23
2697,2046,Mayor,Armando Dominguez,0,0.0
2698,2046,Mayor,Michael Idrogo,1,0.19
2699,2046,Mayor,Gary Allen,7,1.34
2700,2046,Mayor,Michael Samaniego,7,1.34
2701,2046,Mayor,Diana Flores Uriegas,9,1.73
2704,2046,District 7,Sandragrace Martinez,67,13.01
2705,2046,District 7,Jacob B. Chapa,42,8.16
2706,2046,District 7,Dan Rossiter,76,14.76
2707,2046,District 7,Marina Alderete Gavito,318,61.75
2708,2046,District 7,"Andrew ""AJ"" Luck",12,2.33
2711,2047,Mayor,Ray Adam Basaldua,3,0.92
2712,2047,Mayor,Christopher T. Schuchardt,45,13.85
2713,2047,Mayor,Christopher Longoria,6,1.85
2714,2047,Mayor,Ron Nirenberg,233,71.69
2715,2047,Mayor,Armando Dominguez,0,0.0
2716,2047,Mayor,Michael Idrogo,2,0.62
2717,2047,Mayor,Gary Allen,17,5.23
2718,2047,Mayor,Michael Samaniego,4,1.23
2719,2047,Mayor,Diana Flores Uriegas,15,4.62
2722,2047,District 7,Sandragrace Martinez,54,16.98
2723,2047,District 7,Jacob B. Chapa,30,9.43
2724,2047,District 7,Dan Rossiter,36,11.32
2725,2047,District 7,Marina Alderete Gavito,188,59.12
2726,2047,District 7,"Andrew ""AJ"" Luck",10,3.14
2729,2048,Mayor,Ray Adam Basaldua,3,1.69
2730,2048,Mayor,Christopher T. Schuchardt,19,10.67
2731,2048,Mayor,Christopher Longoria,4,2.25
2732,2048,Mayor,Ron Nirenberg,129,72.47
2733,2048,Mayor,Armando Dominguez,3,1.69
2734,2048,Mayor,Michael Idrogo,1,0.56
2735,2048,Mayor,Gary Allen,7,3.93
2736,2048,Mayor,Michael Samaniego,5,2.81
2737,2048,Mayor,Diana Flores Uriegas,7,3.93
2740,2048,District 1,Jeremy Roberts,35,20.0
2741,2048,District 1,Roberto Rios Ortega,14,8.0
2742,2048,District 1,Sukh Kaur,47,26.86
2743,2048,District 1,Ernest Salinas,12,6.86
2744,2048,District 1,Lauro Bustamante,11,6.29
2745,2048,District 1,Mario Bravo,53,30.29
2746,2048,District 1,William T. Lamar-Boone,3,1.71
2749,2049,Mayor,Ray Adam Basaldua,14,3.58
2750,2049,Mayor,Christopher T. Schuchardt,48,12.28
2751,2049,Mayor,Christopher Longoria,7,1.79
2752,2049,Mayor,Ron Nirenberg,270,69.05
2753,2049,Mayor,Armando Dominguez,11,2.81
2754,2049,Mayor,Michael Idrogo,1,0.26
2755,2049,Mayor,Gary Allen,13,3.32
2756,2049,Mayor,Michael Samaniego,16,4.09
2757,2049,Mayor,Diana Flores Uriegas,11,2.81
2760,2049,District 6,Irina Rudolph,78,21.43
2761,2049,District 6,Melissa Cabello Havrda,243,66.76
2762,2049,District 6,Chris Baecker,43,11.81
2765,2050,Mayor,Ray Adam Basaldua,9,2.73
2766,2050,Mayor,Christopher T. Schuchardt,50,15.15
2767,2050,Mayor,Christopher Longoria,5,1.52
2768,2050,Mayor,Ron Nirenberg,232,70.3
2769,2050,Mayor,Armando Dominguez,1,0.3
2770,2050,Mayor,Michael Idrogo,3,0.91
2771,2050,Mayor,Gary Allen,6,1.82
2772,2050,Mayor,Michael Samaniego,12,3.64
2773,2050,Mayor,Diana Flores Uriegas,12,3.64
2776,2050,District 7,Sandragrace Martinez,64,19.94
2777,2050,District 7,Jacob B. Chapa,29,9.03
2778,2050,District 7,Dan Rossiter,87,27.1
2779,2050,District 7,Marina Alderete Gavito,133,41.43
2780,2050,District 7,"Andrew ""AJ"" Luck",8,2.49
2783,2051,Mayor,Ray Adam Basaldua,2,1.82
2784,2051,Mayor,Christopher T. Schuchardt,6,5.45
2785,2051,Mayor,Christopher Longoria,6,5.45
2786,2051,Mayor,Ron Nirenberg,88,80.0
2787,2051,Mayor,Armando Dominguez,0,0.0
2788,2051,Mayor,Michael Idrogo,1,0.91
2789,2051,Mayor,Gary Allen,3,2.73
2790,2051,Mayor,Michael Samaniego,2,1.82
2791,2051,Mayor,Diana Flores Uriegas,2,1.82
2794,2051,District 1,Jeremy Roberts,22,21.36
2795,2051,District 1,Roberto Rios Ortega,6,5.83
2796,2051,District 1,Sukh Kaur,32,31.07
2797,2051,District 1,Ernest Salinas,5,4.85
2798,2051,District 1,Lauro Bustamante,3,2.91
2799,2051,District 1,Mario Bravo,27,26.21
2800,2051,District 1,William T. Lamar-Boone,8,7.77
2803,2052,Mayor,Ray Adam Basaldua,1,0.85
2804,2052,Mayor,Christopher T. Schuchardt,16,13.68
2805,2052,Mayor,Christopher Longoria,4,3.42
2806,2052,Mayor,Ron Nirenberg,81,69.23
2807,2052,Mayor,Armando Dominguez,2,1.71
2808,2052,Mayor,Michael Idrogo,1,0.85
2809,2052,Mayor,Gary Allen,3,2.56
2810,2052,Mayor,Michael Samaniego,2,1.71
2811,2052,Mayor,Diana Flores Uriegas,7,5.98
2814,2052,District 1,Jeremy Roberts,19,16.24
2815,2052,District 1,Roberto Rios Ortega,5,4.27
2816,2052,District 1,Sukh Kaur,24,20.51
2817,2052,District 1,Ernest Salinas,10,8.55
2818,2052,District 1,Lauro Bustamante,6,5.13
2819,2052,District 1,Mario Bravo,53,45.3
2820,2052,District 1,William T. Lamar-Boone,0,0.0
2823,2053,Mayor,Ray Adam Basaldua,1,0.52
2824,2053,Mayor,Christopher T. Schuchardt,24,12.57
2825,2053,Mayor,Christopher Longoria,4,2.09
2826,2053,Mayor,Ron Nirenberg,141,73.82
2827,2053,Mayor,Armando Dominguez,3,1.57
2828,2053,Mayor,Michael Idrogo,1,0.52
2829,2053,Mayor,Gary Allen,2,1.05
2830,2053,Mayor,Michael Samaniego,4,2.09
2831,2053,Mayor,Diana Flores Uriegas,11,5.76
2834,2053,District 1,Jeremy Roberts,26,13.98
2835,2053,District 1,Roberto Rios Ortega,11,5.91
2836,2053,District 1,Sukh Kaur,82,44.09
2837,2053,District 1,Ernest Salinas,13,6.99
2838,2053,District 1,Lauro Bustamante,8,4.3
2839,2053,District 1,Mario Bravo,45,24.19
2840,2053,District 1,William T. Lamar-Boone,1,0.54
2843,2054,Mayor,Ray Adam Basaldua,5,1.17
2844,2054,Mayor,Christopher T. Schuchardt,30,7.04
2845,2054,Mayor,Christopher Longoria,11,2.58
2846,2054,Mayor,Ron Nirenberg,345,80.99
2847,2054,Mayor,Armando Dominguez,4,0.94
2848,2054,Mayor,Michael Idrogo,1,0.23
2849,2054,Mayor,Gary Allen,9,2.11
2850,2054,Mayor,Michael Samaniego,6,1.41
2851,2054,Mayor,Diana Flores Uriegas,15,3.52
2854,2054,District 1,Jeremy Roberts,83,20.1
2855,2054,District 1,Roberto Rios Ortega,14,3.39
2856,2054,District 1,Sukh Kaur,164,39.71
2857,2054,District 1,Ernest Salinas,20,4.84
2858,2054,District 1,Lauro Bustamante,14,3.39
2859,2054,District 1,Mario Bravo,111,26.88
2860,2054,District 1,William T. Lamar-Boone,7,1.69
2863,2055,Mayor,Ray Adam Basaldua,6,1.82
2864,2055,Mayor,Christopher T. Schuchardt,22,6.69
2865,2055,Mayor,Christopher Longoria,3,0.91
2866,2055,Mayor,Ron Nirenberg,274,83.28
2867,2055,Mayor,Armando Dominguez,0,0.0
2868,2055,Mayor,Michael Idrogo,1,0.3
2869,2055,Mayor,Gary Allen,6,1.82
2870,2055,Mayor,Michael Samaniego,1,0.3
2871,2055,Mayor,Diana Flores Uriegas,16,4.86
2874,2055,District 1,Jeremy Roberts,66,20.69
2875,2055,District 1,Roberto Rios Ortega,7,2.19
2876,2055,District 1,Sukh Kaur,164,51.41
2877,2055,District 1,Ernest Salinas,9,2.82
2878,2055,District 1,Lauro Bustamante,4,1.25
2879,2055,District 1,Mario Bravo,66,20.69
2880,2055,District 1,William T. Lamar-Boone,3,0.94
2883,2056,Mayor,Ray Adam Basaldua,4,1.66
2884,2056,Mayor,Christopher T. Schuchardt,35,14.52
2885,2056,Mayor,Christopher Longoria,4,1.66
2886,2056,Mayor,Ron Nirenberg,170,70.54
2887,2056,Mayor,Armando Dominguez,3,1.24
2888,2056,Mayor,Michael Idrogo,1,0.41
2889,2056,Mayor,Gary Allen,11,4.56
