,Precinct,Race,Candidate,Total Votes,Vote Percentage
82,1005,District 5,Teri Castillo,59,68.6
83,1005,District 5,Rudy Lopez,22,25.58
86,1006,Mayor,Ray Adam Basaldua,5,2.05
87,1006,Mayor,Christopher T. Schuchardt,30,12.3
88,1006,Mayor,Christopher Longoria,8,3.28
89,1006,Mayor,Ron Nirenberg,174,71.31
90,1006,Mayor,Armando Dominguez,5,2.05
91,1006,Mayor,Michael Idrogo,2,0.82
92,1006,Mayor,Gary Allen,9,3.69
93,1006,Mayor,Michael Samaniego,4,1.64
94,1006,Mayor,Diana Flores Uriegas,7,2.87
97,1006,District 5,Arturo Espinosa,19,8.12
98,1006,District 5,Teri Castillo,138,58.97
99,1006,District 5,Rudy Lopez,77,32.91
102,1007,Mayor,Ray Adam Basaldua,2,1.2
103,1007,Mayor,Christopher T. Schuchardt,19,11.38
104,1007,Mayor,Christopher Longoria,5,2.99
105,1007,Mayor,Ron Nirenberg,120,71.86
106,1007,Mayor,Armando Dominguez,0,0.0
107,1007,Mayor,Michael Idrogo,3,1.8
108,1007,Mayor,Gary Allen,6,3.59
109,1007,Mayor,Michael Samaniego,5,2.99
110,1007,Mayor,Diana Flores Uriegas,7,4.19
113,1007,District 5,Arturo Espinosa,11,6.75
114,1007,District 5,Teri Castillo,82,50.31
115,1007,District 5,Rudy Lopez,70,42.94
118,1008,Mayor,Ray Adam Basaldua,1,0.21
119,1008,Mayor,Christopher T. Schuchardt,31,6.49
120,1008,Mayor,Christopher Longoria,9,1.88
121,1008,Mayor,Ron Nirenberg,393,82.22
122,1008,Mayor,Armando Dominguez,2,0.42
123,1008,Mayor,Michael Idrogo,2,0.42
124,1008,Mayor,Gary Allen,11,2.3
125,1008,Mayor,Michael Samaniego,5,1.05
126,1008,Mayor,Diana Flores Uriegas,24,5.02
129,1008,District 1,Jeremy Roberts,56,12.1
130,1008,District 1,Roberto Rios Ortega,18,3.89
131,1008,District 1,Sukh Kaur,198,42.76
132,1008,District 1,Ernest Salinas,15,3.24
133,1008,District 1,Lauro Bustamante,11,2.38
134,1008,District 1,Mario Bravo,161,34.77
135,1008,District 1,William T. Lamar-Boone,4,0.86
138,1010,Mayor,Ray Adam Basaldua,1,0.78
139,1010,Mayor,Christopher T. Schuchardt,7,5.47
140,1010,Mayor,Christopher Longoria,4,3.12
141,1010,Mayor,Ron Nirenberg,100,78.12
142,1010,Mayor,Armando Dominguez,1,0.78
143,1010,Mayor,Michael Idrogo,1,0.78
144,1010,Mayor,Gary Allen,4,3.12
