Precinct,Registered Voters,Ballots Cast,Voter Turnout (%)
3078,"2,866",516,28.93%
3079,"3,215",572,30.54%
3080,"1,131",234,31.30%
3081,"2,235",400,26.71%
3082,"2,468",363,24.31%
3083,"1,589",263,27.75%
3084,"3,402",505,23.22%
3085,"1,265",209,29.01%
3086,"1,748",383,37.36%
3087,"1,674",247,21.15%
3088,"3,718",525,22.86%
3090,"3,162",470,24.92%
3092,"2,598",128,21.44%
3093,"4,533",812,26.74%
3094,"4,161",460,19.15%
3095,"3,269",196,9.39%
3096,"3,231",79,4.92%
3097,4,0,0.00%
3098,"1,269",243,30.89%
3099,"3,465",500,22.08%
3100,"3,384",422,19.53%
3101,"2,655",521,26.52%
3102,"3,019",535,31.24%
3103,814,91,14.86%
3104,"2,623",521,31.72%
3105,"3,455",516,22.17%
3106,"1,675",377,27.04%
3107,"1,613",215,20.52%
3108,"1,514",248,34.28%
3109,"3,235",297,16.23%
3110,"3,059",407,22.03%
3111,0,0,0.00%
3112,"1,581",152,16.07%
3113,"1,115",90,12.02%
3114,"2,257",571,37.62%
3115,"1,791",460,39.03%
3116,"1,516",261,27.90%
3117,"3,035",700,36.18%
3118,990,152,26.77%
3119,"3,824",498,21.37%
3120,"3,384",409,20.80%
3121,"4,696",521,18.91%
3122,"2,371",379,24.93%
3123,3,0,0.00%
3124,"4,497",166,5.18%
3125,0,0,0.00%
3126,"1,925",26,2.60%
3127,"3,657",514,21.41%
3128,55,0,0.00%
3129,"3,252",459,21.77%
3130,"1,816",427,36.51%
3131,2,0,0.00%
3132,"1,494",91,10.78%
3133,0,0,0.00%
3134,"2,817",288,14.87%
3135,909,162,24.86%
3136,468,97,34.83%
3137,141,3,4.26%
3138,65,9,21.54%
3139,"1,574",198,20.27%
3140,411,44,20.44%
3141,"1,452",184,21.83%
3142,584,30,7.88%
3143,"1,537",252,25.70%
3144,546,28,6.04%
3145,"3,659",549,23.18%
3146,"3,409",421,22.06%
3147,"2,465",399,27.95%
3149,"2,699",41,2.15%
3150,35,4,25.71%
3151,"3,046",425,22.59%
3152,"1,829",91,9.79%
3153,"1,521",258,27.55%
3154,"1,695",411,38.41%
3155,"2,975",408,22.72%
3156,13,1,23.08%
3157,"2,652",511,32.13%
3158,70,16,27.14%
