Precinct,Race,Candidate,Total Votes,Vote Percentage
2051,District 1,Jeremy Roberts,22,21.36
2051,District 1,Roberto Rios Ortega,6,5.83
2051,District 1,Sukh Kaur,32,31.07
2051,District 1,Ernest Salinas,5,4.85
2051,District 1,Lauro Bustamante,3,2.91
2051,District 1,Mario Bravo (i),27,26.21
2051,District 1,William T. Lamar-Boone,8,7.77
2052,Mayor,Ray Adam Basaldua,1,0.85
2052,Mayor,Christopher T. Schuchardt,16,13.68
2052,Mayor,Christopher Longoria,4,3.42
2052,Mayor,Ron Nirenberg (i),81,69.23
2052,Mayor,Armando Dominguez,2,1.71
2052,Mayor,Michael Idrogo,1,0.85
2052,Mayor,Gary Allen,3,2.56
2052,Mayor,Michael Samaniego,2,1.71
2052,Mayor,Diana Flores Uriegas,7,5.98
2052,District 1,Jeremy Roberts,19,16.24
2052,District 1,Roberto Rios Ortega,5,4.27
2052,District 1,Sukh Kaur,24,20.51
2052,District 1,Ernest Salinas,10,8.55
2052,District 1,Lauro Bustamante,6,5.13
2052,District 1,Mario Bravo (i),53,45.3
2052,District 1,William T. Lamar-Boone,0,0
2053,Mayor,Ray Adam Basaldua,1,0.52
2053,Mayor,Christopher T. Schuchardt,24,12.57
2053,Mayor,Christopher Longoria,4,2.09
2053,Mayor,Ron Nirenberg (i),141,73.82
2053,Mayor,Armando Dominguez,3,1.57
2053,Mayor,Michael Idrogo,1,0.52
2053,Mayor,Gary Allen,2,1.05
2053,Mayor,Michael Samaniego,4,2.09
2053,Mayor,Diana Flores Uriegas,11,5.76
2053,District 1,Jeremy Roberts,26,13.98
2053,District 1,Roberto Rios Ortega,11,5.91
2053,District 1,Sukh Kaur,82,44.09
2053,District 1,Ernest Salinas,13,6.99
2053,District 1,Lauro Bustamante,8,4.3
2053,District 1,Mario Bravo (i),45,24.19
2053,District 1,William T. Lamar-Boone,1,0.54
2054,Mayor,Ray Adam Basaldua,5,1.17
2054,Mayor,Christopher T. Schuchardt,30,7.04
2054,Mayor,Christopher Longoria,11,2.58
2054,Mayor,Ron Nirenberg (i),345,80.99
2054,Mayor,Armando Dominguez,4,0.94
2054,Mayor,Michael Idrogo,1,0.23
2054,Mayor,Gary Allen,9,2.11
2054,Mayor,Michael Samaniego,6,1.41
2054,Mayor,Diana Flores Uriegas,15,3.52
2054,District 1,Jeremy Roberts,83,20.1
2054,District 1,Roberto Rios Ortega,14,3.39
2054,District 1,Sukh Kaur,164,39.71
2054,District 1,Ernest Salinas,20,4.84
2054,District 1,Lauro Bustamante,14,3.39
2054,District 1,Mario Bravo (i),111,26.88
2054,District 1,William T. Lamar-Boone,7,1.69
2055,Mayor,Ray Adam Basaldua,6,1.82
2055,Mayor,Christopher T. Schuchardt,22,6.69
2055,Mayor,Christopher Longoria,3,0.91
