Precinct,Race,Candidate,Total Votes,Vote Percentage
4128,District 2,Jalen McKee-Rodriguez,20.0,66.67
4131,District 2,Jada Andrews-Sullivan,2.0,20.0
4131,District 2,Jalen McKee-Rodriguez,8.0,80.0
4134,District 2,Jada Andrews-Sullivan 0 0,,
4134,District 2,Jalen McKee-Rodriguez 0 0,,
4135,District 2,Jada Andrews-Sullivan 0 0,,
4135,District 2,Jalen McKee-Rodriguez 0 0,,
4136,District 2,Jada Andrews-Sullivan,2.0,33.33
4136,District 2,Jalen McKee-Rodriguez,4.0,66.67
4139,District 2,Jada Andrews-Sullivan 0 0,,
4139,District 2,Jalen McKee-Rodriguez 0 0,,
4141,District 2,Jada Andrews-Sullivan,5.0,55.56
4141,District 2,Jalen McKee-Rodriguez,4.0,44.44
4142,District 2,Jada Andrews-Sullivan,18.0,60.0
4142,District 2,Jalen McKee-Rodriguez,12.0,40.0
4147,District 2,Jada Andrews-Sullivan,13.0,46.43
4147,District 2,Jalen McKee-Rodriguez,15.0,53.57
4149,District 2,Jada Andrews-Sullivan,8.0,53.33
4149,District 2,Jalen McKee-Rodriguez,7.0,46.67
4153,District 3,Tomas Uresti,4.0,50.0
4153,District 3,Phyllis Viagran,4.0,50.0
4154,District 2,Jada Andrews-Sullivan,22.0,47.83
4154,District 2,Jalen McKee-Rodriguez,24.0,52.17
4155,District 1,Mario Bravo,152.0,43.3
4155,District 1,Roberto C. Treviño,199.0,56.7
4156,District 2,Jada Andrews-Sullivan,27.0,54.0
4156,District 2,Jalen McKee-Rodriguez,23.0,46.0
4157,District 1,Mario Bravo,106.0,43.62
4157,District 1,Roberto C. Treviño,137.0,56.38
4159,District 2,Jada Andrews-Sullivan,2.0,100.0
4159,District 2,Jalen McKee-Rodriguez,0.0,0.0
4161,District 2,Jada Andrews-Sullivan,15.0,62.5
4161,District 2,Jalen McKee-Rodriguez,9.0,37.5
4165,District 3,Tomas Uresti,1.0,100.0
