Precinct,Race,Candidate,Total Votes
1015,For Mayor City of San Antonio,Christopher T. Schuchardt,10
1015,For Mayor City of San Antonio,Christopher Longoria,4
1015,For Mayor City of San Antonio,Ron Nirenberg,71
1015,For Mayor City of San Antonio,Armando Dominguez,0
1015,For Mayor City of San Antonio,Michael Idrogo,0
1015,For Mayor City of San Antonio,Gary Allen,6
1015,For Mayor City of San Antonio,Michael Samaniego,4
1015,For Mayor City of San Antonio,Diana Flores Uriegas,2
1015,"For Council, City of San Antonio, District 5",Vote,For
1015,"For Council, City of San Antonio, District 5",TOTAL,VOTE
1015,"For Council, City of San Antonio, District 5",Arturo Espinosa,5
1015,"For Council, City of San Antonio, District 5",Teri Castillo,68
1015,"For Council, City of San Antonio, District 5",Rudy Lopez,23
1016,For Mayor City of San Antonio,Vote,For
1016,For Mayor City of San Antonio,TOTAL,VOTE
1016,For Mayor City of San Antonio,Ray Adam Basaldua,0
1016,For Mayor City of San Antonio,Christopher T. Schuchardt,5
1016,For Mayor City of San Antonio,Christopher Longoria,0
1016,For Mayor City of San Antonio,Ron Nirenberg,64
1016,For Mayor City of San Antonio,Armando Dominguez,2
1016,For Mayor City of San Antonio,Michael Idrogo,2
1016,For Mayor City of San Antonio,Gary Allen,4
1016,For Mayor City of San Antonio,Michael Samaniego,1
1016,For Mayor City of San Antonio,Diana Flores Uriegas,9
1016,"For Council, City of San Antonio, District 3",Vote,For
1016,"For Council, City of San Antonio, District 3",TOTAL,VOTE
1016,"For Council, City of San Antonio, District 3",Jayden Muñoz,13
1016,"For Council, City of San Antonio, District 3",Phyllis Viagran,49
1016,"For Council, City of San Antonio, District 3",Erin Gallegos Reid,16
1016,"For Council, City of San Antonio, District 3",Larry La Rose,5
1017,For Mayor City of San Antonio,Vote,For
1017,For Mayor City of San Antonio,TOTAL,VOTE
1017,For Mayor City of San Antonio,Ray Adam Basaldua,1
1017,For Mayor City of San Antonio,Christopher T. Schuchardt,3
1017,For Mayor City of San Antonio,Christopher Longoria,1
1017,For Mayor City of San Antonio,Ron Nirenberg,21
1017,For Mayor City of San Antonio,Armando Dominguez,0
1017,For Mayor City of San Antonio,Michael Idrogo,1
1017,For Mayor City of San Antonio,Gary Allen,6
1017,For Mayor City of San Antonio,Michael Samaniego,2
1017,For Mayor City of San Antonio,Diana Flores Uriegas,3
1017,"For Council, City of San Antonio, District 3",Vote,For
1017,"For Council, City of San Antonio, District 3",TOTAL,VOTE
1017,"For Council, City of San Antonio, District 3",Jayden Muñoz,5
1017,"For Council, City of San Antonio, District 3",Phyllis Viagran,22
1017,"For Council, City of San Antonio, District 3",Erin Gallegos Reid,6
1017,"For Council, City of San Antonio, District 3",Larry La Rose,3
1018,For Mayor City of San Antonio,Vote,For
1018,For Mayor City of San Antonio,TOTAL,VOTE
1018,For Mayor City of San Antonio,Ray Adam Basaldua,2
1018,For Mayor City of San Antonio,Christopher T. Schuchardt,9
1018,For Mayor City of San Antonio,Christopher Longoria,4
1018,For Mayor City of San Antonio,Ron Nirenberg,63
1018,For Mayor City of San Antonio,Armando Dominguez,2
1018,For Mayor City of San Antonio,Michael Idrogo,1
1018,For Mayor City of San Antonio,Gary Allen,4
1018,For Mayor City of San Antonio,Michael Samaniego,1
1018,For Mayor City of San Antonio,Diana Flores Uriegas,8
1018,"For Council, City of San Antonio, District 3",Vote,For
1018,"For Council, City of San Antonio, District 3",TOTAL,VOTE
1018,"For Council, City of San Antonio, District 3",Jayden Muñoz,15
1018,"For Council, City of San Antonio, District 3",Phyllis Viagran,52
1018,"For Council, City of San Antonio, District 3",Erin Gallegos Reid,14
1018,"For Council, City of San Antonio, District 3",Larry La Rose,12
1019,For Mayor City of San Antonio,Vote,For
1019,For Mayor City of San Antonio,TOTAL,VOTE
1019,For Mayor City of San Antonio,Ray Adam Basaldua,0
1019,For Mayor City of San Antonio,Christopher T. Schuchardt,10
1019,For Mayor City of San Antonio,Christopher Longoria,2
1019,For Mayor City of San Antonio,Ron Nirenberg,64
1019,For Mayor City of San Antonio,Armando Dominguez,0
1019,For Mayor City of San Antonio,Michael Idrogo,0
1019,For Mayor City of San Antonio,Gary Allen,0
1019,For Mayor City of San Antonio,Michael Samaniego,2
1019,For Mayor City of San Antonio,Diana Flores Uriegas,3
1019,"For Council, City of San Antonio, District 3",Vote,For
1019,"For Council, City of San Antonio, District 3",TOTAL,VOTE
1019,"For Council, City of San Antonio, District 3",Jayden Muñoz,9
1019,"For Council, City of San Antonio, District 3",Phyllis Viagran,43
1019,"For Council, City of San Antonio, District 3",Erin Gallegos Reid,16
1019,"For Council, City of San Antonio, District 3",Larry La Rose,9
1020,For Mayor City of San Antonio,Vote,For
1020,For Mayor City of San Antonio,TOTAL,VOTE
1020,For Mayor City of San Antonio,Ray Adam Basaldua,10
1020,For Mayor City of San Antonio,Christopher T. Schuchardt,40
1020,For Mayor City of San Antonio,Christopher Longoria,4
1020,For Mayor City of San Antonio,Ron Nirenberg,161
1020,For Mayor City of San Antonio,Armando Dominguez,3
1020,For Mayor City of San Antonio,Michael Idrogo,3
1020,For Mayor City of San Antonio,Gary Allen,11
1020,For Mayor City of San Antonio,Michael Samaniego,10
1020,For Mayor City of San Antonio,Diana Flores Uriegas,9
1020,"For Council, City of San Antonio, District 3",Vote,For
1020,"For Council, City of San Antonio, District 3",TOTAL,VOTE
1020,"For Council, City of San Antonio, District 3",Jayden Muñoz,38
1020,"For Council, City of San Antonio, District 3",Phyllis Viagran,130
1020,"For Council, City of San Antonio, District 3",Erin Gallegos Reid,49
1020,"For Council, City of San Antonio, District 3",Larry La Rose,25
1021,For Mayor City of San Antonio,Vote,For
1021,For Mayor City of San Antonio,TOTAL,VOTE
1021,For Mayor City of San Antonio,Ray Adam Basaldua,4
1021,For Mayor City of San Antonio,Christopher T. Schuchardt,16
1021,For Mayor City of San Antonio,Christopher Longoria,9
1021,For Mayor City of San Antonio,Ron Nirenberg,132
1021,For Mayor City of San Antonio,Armando Dominguez,2
1021,For Mayor City of San Antonio,Michael Idrogo,0
1021,For Mayor City of San Antonio,Gary Allen,4
1021,For Mayor City of San Antonio,Michael Samaniego,3
1021,For Mayor City of San Antonio,Diana Flores Uriegas,19
1021,"For Council, City of San Antonio, District 3",Vote,For
1021,"For Council, City of San Antonio, District 3",TOTAL,VOTE
1021,"For Council, City of San Antonio, District 3",Jayden Muñoz,31
1021,"For Council, City of San Antonio, District 3",Phyllis Viagran,105
1021,"For Council, City of San Antonio, District 3",Erin Gallegos Reid,30
1021,"For Council, City of San Antonio, District 3",Larry La Rose,15
1022,For Mayor City of San Antonio,Vote,For
1022,For Mayor City of San Antonio,TOTAL,VOTE
1022,For Mayor City of San Antonio,Ray Adam Basaldua,3
1022,For Mayor City of San Antonio,Christopher T. Schuchardt,9
1022,For Mayor City of San Antonio,Christopher Longoria,1
1022,For Mayor City of San Antonio,Ron Nirenberg,60
1022,For Mayor City of San Antonio,Armando Dominguez,0
1022,For Mayor City of San Antonio,Michael Idrogo,1
1022,For Mayor City of San Antonio,Gary Allen,3
1022,For Mayor City of San Antonio,Michael Samaniego,0
1022,For Mayor City of San Antonio,Diana Flores Uriegas,3
1022,"For Council, City of San Antonio, District 4",Vote,For
1022,"For Council, City of San Antonio, District 4",TOTAL,VOTE
1022,"For Council, City of San Antonio, District 4",Adriana Rocha Garcia,61
1022,"For Council, City of San Antonio, District 4",Gregorio De La Paz,9
1023,For Mayor City of San Antonio,Vote,For
1023,For Mayor City of San Antonio,TOTAL,VOTE
1023,For Mayor City of San Antonio,Ray Adam Basaldua,3
1023,For Mayor City of San Antonio,Christopher T. Schuchardt,20
