Precinct,Race,Candidate,Total Votes
2137,"For Council, City of San Antonio, District 1",Sukh Kaur,85
2137,"For Council, City of San Antonio, District 1",Mario Bravo,47
2138,"For Council, City of San Antonio, District 1",Vote,For
2138,"For Council, City of San Antonio, District 1",TOTAL,VOTE
2138,"For Council, City of San Antonio, District 1",Sukh Kaur,81
2138,"For Council, City of San Antonio, District 1",Mario Bravo,48
2139,"For Council, City of San Antonio, District 7",Vote,For
2139,"For Council, City of San Antonio, District 7",TOTAL,VOTE
2139,"For Council, City of San Antonio, District 7",Dan Rossiter,36
2139,"For Council, City of San Antonio, District 7",Marina Alderete Gavito,84
2142,"For Council, City of San Antonio, District 7",Vote,For
2142,"For Council, City of San Antonio, District 7",TOTAL,VOTE
2142,"For Council, City of San Antonio, District 7",Dan Rossiter,5
2142,"For Council, City of San Antonio, District 7",Marina Alderete Gavito,8
2144,"For Council, City of San Antonio, District 1",Vote,For
2144,"For Council, City of San Antonio, District 1",TOTAL,VOTE
2144,"For Council, City of San Antonio, District 1",Sukh Kaur,143
2144,"For Council, City of San Antonio, District 1",Mario Bravo,111
2150,"For Council, City of San Antonio, District 1",Vote,For
2150,"For Council, City of San Antonio, District 1",TOTAL,VOTE
2150,"For Council, City of San Antonio, District 1",Sukh,Kaur
2150,"For Council, City of San Antonio, District 1",Mario,Bravo
2151,"For Council, City of San Antonio, District 7",Vote,For
2151,"For Council, City of San Antonio, District 7",TOTAL,VOTE
2151,"For Council, City of San Antonio, District 7",Dan,Rossiter
2151,"For Council, City of San Antonio, District 7",Marina Alderete,Gavito
2152,"For Council, City of San Antonio, District 1",Vote,For
2152,"For Council, City of San Antonio, District 1",TOTAL,VOTE
2152,"For Council, City of San Antonio, District 1",Sukh Kaur,20
2152,"For Council, City of San Antonio, District 1",Mario Bravo,15
2153,"For Council, City of San Antonio, District 7",Vote,For
2153,"For Council, City of San Antonio, District 7",TOTAL,VOTE
2153,"For Council, City of San Antonio, District 7",Dan Rossiter,1
2153,"For Council, City of San Antonio, District 7",Marina Alderete Gavito,4
2155,"For Council, City of San Antonio, District 1",Vote,For
2155,"For Council, City of San Antonio, District 1",TOTAL,VOTE
2155,"For Council, City of San Antonio, District 1",Sukh,Kaur
2155,"For Council, City of San Antonio, District 1",Mario,Bravo
2157,"For Council, City of San Antonio, District 7",Vote,For
2157,"For Council, City of San Antonio, District 7",TOTAL,VOTE
2157,"For Council, City of San Antonio, District 7",Dan,Rossiter
2157,"For Council, City of San Antonio, District 7",Marina Alderete,Gavito
2161,"For Council, City of San Antonio, District 7",Vote,For
2161,"For Council, City of San Antonio, District 7",TOTAL,VOTE
