OBJECTID,NAME,STATESENAT,CONG,STATEREP,ShapeSTArea,ShapeSTLength
304,2100,26,20,123,13646023.0449219,21950.269041416
305,3171,26,21,123,458318.9453125,2591.02662232867
306,2082,26,20,123,18551591.4296875,22109.5071149147
307,3038,26,21,123,14918094.984375,19322.9230864518
308,2137,26,20,123,18422836.1953125,21279.3680822435
309,3067,26,21,123,43415412.5566406,28806.1377891924
310,3161,26,21,123,27748007.6972656,25127.3457957743
311,3068,26,21,123,16004227.65625,16941.1702091977
312,3066,26,21,123,20175063.2128906,20768.731821953
313,2092,26,21,123,3086782.7890625,7124.48736078268
314,3014,26,21,123,4715809.93359375,12749.0436812531
315,3132,26,21,123,10225385.4765625,20801.9678065629
316,3075,25,23,122,88562606.0292969,45869.0728703874
317,3070,26,21,122,23135565.6425781,19785.1957198443
318,3086,26,21,122,12340609.6484375,15432.9686030439
319,3130,25,23,122,23391631.5214844,37190.5530042522
320,3145,25,23,122,93520607.1523438,43096.4536311144
321,3077,26,21,123,22893560.4238281,24902.6353615454
322,3044,26,21,123,18146950.7773438,21477.9456261582
323,3078,26,21,123,21552811.4570312,27267.2726135292
324,3119,26,21,123,21980207.1347656,23112.58492772
325,3076,25,23,122,13047002.2910156,17402.3883405373
326,3030,25,23,122,17999897.8847656,22320.5380342852
327,3045,25,23,122,19241547.25,20597.4021867057
328,3102,25,21,122,38499604.3359375,35439.1746160218
329,3033,25,23,122,31353671.625,22637.4391689129
330,2038,26,20,123,30614888.1484375,23570.486477808
331,2138,26,20,123,14136371.1640625,16578.628351987
332,1031,26,20,124,25536818.484375,30845.0065159387
333,2043,26,20,124,18248242.0917969,21777.5958953726
334,1032,26,20,124,21879226.0878906,24866.4107691071
335,2019,26,20,124,11172185.3398438,18096.868681839
336,2049,26,20,125,94347492.3984375,39954.5150620827
337,2140,26,20,124,28482714.4980469,31625.0877964318
338,2090,26,20,125,27588069.2617188,29442.6463708177
339,2050,26,20,125,20659785.75,29902.4514489115
340,2061,26,20,125,27668309.3085938,38643.3403980651
341,3192,25,23,122,474719.9921875,3426.29330395003
342,3042,25,23,122,26743606.8066406,30911.5587552777
343,3193,25,21,122,2968319.22851562,10781.1568867495
344,3194,25,23,122,81167018.9902344,73470.0266258615
345,2020,26,20,124,66112376.4277344,46955.3913523395
346,2128,26,20,125,22830267.2265625,19788.0847619143
347,2042,26,20,125,18767086.8085938,20213.7506770904
348,2021,26,20,125,22298477.7480469,19485.8791884585
349,2022,26,20,125,13852435.8769531,15275.0383493923
350,2023,26,20,125,20164779.6269531,19445.5579893414
351,2041,26,20,125,20119871.8710938,19977.5269451323
352,2040,26,20,125,33926278.4277344,23548.4766076499
353,2151,26,20,125,3047156.85546875,8234.22856716053
354,2142,26,20,116,12343206.1796875,23351.4468178654
355,2024,26,20,125,23476890.2832031,23657.9066721055
356,2026,26,20,116,21714281.3632812,21788.0646857271
357,2027,26,20,116,14339636.1152344,15517.7310016852
358,2098,26,20,125,18069892.9140625,17871.3463660896
